address,district,street,house_number,coords,area,full_price,weighted_price
Москва;район Пресненский;ул. Сергея Макеева;д.9к3,район Пресненский,ул. Сергея Макеева,д.9к3,"55.762100,37.550064",110.6,42000000,379746
Москва;район Обручевский;Ленинский просп.;д.111к1,район Обручевский,Ленинский просп.,д.111к1,"55.661328,37.509343",128.0,42000000,328125
Москва;район Раменки;ул. Пудовкина;д.7Б,район Раменки,ул. Пудовкина,д.7Б,"55.726918,37.528307",110.0,42500000,386363
Москва;район Щукино;ул. Расплетина;д.21,район Щукино,ул. Расплетина,д.21,"55.798257,37.481990",112.0,42500000,379464
Москва;район Щукино;Авиационная ул.;д.77,район Щукино,Авиационная ул.,д.77,"55.807982,37.450845",127.3,43500000,341712
Москва;район Щукино;Авиационная ул.;д.77,район Щукино,Авиационная ул.,д.77,"55.807982,37.450845",127.0,43500000,342519
Москва;район Пресненский;ул. Сергея Макеева;д.9к3,район Пресненский,ул. Сергея Макеева,д.9к3,"55.762100,37.550064",93.6,43500000,464743
Москва;район Раменки;Ломоносовский просп.;д.25к5,район Раменки,Ломоносовский просп.,д.25к5,"55.692008,37.530939",93.2,43850000,470493
Москва;район Басманный;Малый Казенный пер.;д.8,район Басманный,Малый Казенный пер.,д.8,"55.760464,37.654026",131.0,43900000,335114
Москва;район Раменки;Мосфильмовская ул.;д.88к4с3,район Раменки,Мосфильмовская ул.,д.88к4с3,"55.703454,37.489509",118.0,44500000,377118
Москва;район Щукино;ул. Расплетина;д.21,район Щукино,ул. Расплетина,д.21,"55.798257,37.481990",120.0,44500000,370833
Москва;район Проспект Вернадского;ул. Удальцова;д.27,район Проспект Вернадского,ул. Удальцова,д.27,"55.674174,37.509792",125.0,44500000,356000
Москва;район Очаково-Матвеевское;Староволынская ул.;д.15к2,район Очаково-Матвеевское,Староволынская ул.,д.15к2,"55.713725,37.479061",122.0,45000000,368852
Москва;район Пресненский;Большая Садовая ул.;д.5к1,район Пресненский,Большая Садовая ул.,д.5к1,"55.768588,37.592267",122.0,45000000,368852
Москва;район Раменки;Мосфильмовская ул.;д.88к2с4,район Раменки,Мосфильмовская ул.,д.88к2с4,"55.704093,37.493156",117.3,45000000,383631
Москва;район Тверской;Трехпрудный пер.;д.10/2,район Тверской,Трехпрудный пер.,д.10/2,"55.765407,37.597522",79.0,45000000,569620
Москва;район Тропарево-Никулино;просп. Вернадского;д.94к5,район Тропарево-Никулино,просп. Вернадского,д.94к5,"55.652197,37.473042",97.0,45000000,463917
Москва;район Раменки;Мичуринский просп.;д.3,район Раменки,Мичуринский просп.,д.3,"55.704509,37.512838",103.0,44990000,436796
Москва;район Раменки;Мосфильмовская ул.;д.88к2с6,район Раменки,Мосфильмовская ул.,д.88к2с6,"55.705488,37.493308",125.0,46000000,368000
Москва;район Раменки;Мосфильмовская ул.;д.8,район Раменки,Мосфильмовская ул.,д.8,"55.723237,37.527903",100.0,46000000,460000
Москва;район Раменки;Мосфильмовская ул.;д.88к2с6,район Раменки,Мосфильмовская ул.,д.88к2с6,"55.705488,37.493308",125.0,46000000,368000
Москва;район Красносельский;ул. Сретенка;д.26/1,район Красносельский,ул. Сретенка,д.26/1,"55.770259,37.632772",155.0,46000000,296774
Москва;район Красносельский;ул. Сретенка;д.26/1,район Красносельский,ул. Сретенка,д.26/1,"55.770259,37.632772",155.0,46000000,296774
Москва;район Обручевский;ул. Воронцовские Пруды;д.3,район Обручевский,ул. Воронцовские Пруды,д.3,"55.664096,37.536517",130.8,46500000,355504
Москва;район Раменки;Мичуринский просп.;д.29,район Раменки,Мичуринский просп.,д.29,"55.696534,37.499408",140.0,47265300,337609
